str_code,spu_code,eligibility_status,recommendation
S01067,SPU_T恤_0967,ELIGIBLE,NONE
S01068,SPU_短裤_0968,ELIGIBLE,NONE
S01069,SPU_短袖_0969,ELIGIBLE,NONE
S01070,SPU_内衣_0970,ELIGIBLE,NONE
S01071,SPU_配饰_0971,ELIGIBLE,NONE
S01072,SPU_直筒裤_0972,ELIGIBLE,NONE
S01073,SPU_束脚裤_0973,ELIGIBLE,NONE
S01074,SPU_锥形裤_0974,ELIGIBLE,NONE
S01075,SPU_羽绒服_0975,INELIGIBLE,NONE
S01076,SPU_棉服_0976,INELIGIBLE,NONE
S01077,SPU_毛呢大_0977,INELIGIBLE,NONE
S01078,SPU_夹克_0978,INELIGIBLE,NONE
S01079,SPU_针织衫_0979,INELIGIBLE,NONE
S01080,SPU_T恤_0980,ELIGIBLE,NONE
S01081,SPU_短裤_0981,ELIGIBLE,NONE
S01082,SPU_短袖_0982,ELIGIBLE,NONE
S01083,SPU_内衣_0983,ELIGIBLE,NONE
S01084,SPU_配饰_0984,ELIGIBLE,NONE
S01085,SPU_直筒裤_0985,ELIGIBLE,NONE
S01086,SPU_束脚裤_0986,ELIGIBLE,ADD
S01087,SPU_锥形裤_0987,ELIGIBLE,NONE
S01088,SPU_羽绒服_0988,INELIGIBLE,NONE
S01089,SPU_棉服_0989,INELIGIBLE,NONE
S01090,SPU_毛呢大_0990,INELIGIBLE,NONE
S01091,SPU_夹克_0991,INELIGIBLE,NONE
S01092,SPU_针织衫_0992,INELIGIBLE,NONE
S01093,SPU_T恤_0993,ELIGIBLE,NONE
S01094,SPU_短裤_0994,ELIGIBLE,NONE
S01095,SPU_短袖_0995,ELIGIBLE,NONE
S01096,SPU_内衣_0996,ELIGIBLE,NONE
S01097,SPU_配饰_0997,ELIGIBLE,NONE
S01098,SPU_直筒裤_0998,ELIGIBLE,NONE
S01099,SPU_束脚裤_0999,ELIGIBLE,NONE
